Kategorie,Leistung,Preis_CHF
Gesichtsbehandlung,GB Ganzheitlich,188
Gesichtsbehandlung,GB Vital,154
Gesichtsbehandlung,GB Wellness,136
Gesichtsbehandlung,GB to go,74
Gesichtsbehandlung,GB Men Spezial,94
Augenbrauen/Wimpern,Augenbrauenkorrektur,22
Augenbrauen/Wimpern,Brauen färben,20
Augenbrauen/Wimpern,Wimpern färben,27
Augenbrauen/Wimpern,Augenbrauen mit Hennafarbe,56
Maniküre,Maniküre ohne Lack,72
Maniküre,Maniküre mit Lack,82
Maniküre,Naturnagelverstärkung,85
Maniküre,Gellack,70
Maniküre,Maniküre mit Gellack,105
Pediküre,Pediküre ohne Lack,92
Pediküre,Pediküre mit Lack,102
Pediküre,Pediküre mit Nagelspange,130
Pediküre,Nagelspange ohne Pediküre,45
Pediküre,Pediküre mit Gellack,112
Pediküre,Pediküre mit French,118
Pediküre,Gellack ohne Pediküre,70
Pediküre,Gellack French ohne Pediküre,77
Pediküre,Hühnerauge bearbeiten,49
Pediküre,Fussreflexzonenmassage,95
Enthaarung,Oberlippe,24
Enthaarung,Oberlippe und Kinn,45
Enthaarung,Gesicht komplett,55
Enthaarung,Achseln,38
Enthaarung,Halbe Arme,45
Enthaarung,Ganze Arme,65
Enthaarung,Halbe Beine,58
Enthaarung,Ganze Beine,108
